dataset,label,n,em,f1,total_cost_usd,cost_per_task,cost_savings_pct_vs_t4,cost_reduction_factor_vs_t4,quality_retention_pct_vs_best,f1_retention_pct_vs_best,quality_retention_pct_vs_t4,best_quality_tier_em,routing_accuracy,over_provision_rate,under_provision_rate,escalation_rate,avg_latency_s,token_efficiency
gsm8k,baseline_t1,200,94.5,None,0.031443,0.000157,97.34,37.61,97.42,,97.42,baseline_t3,95.45,0.0,4.55,0.0,98.29,301.27
gsm8k,baseline_t2,200,96.0,None,0.218554,0.001093,81.52,5.41,98.97,,98.97,baseline_t3,2.53,95.45,2.02,0.0,3.28,594.86
gsm8k,baseline_t3,200,97.0,97.0,0.307711,0.001539,73.98,3.84,100.0,100.0,100.0,baseline_t3,1.01,97.98,1.01,0.0,3.35,463.94
gsm8k,baseline_t4,200,97.0,None,1.182422,0.005912,0.0,1.0,100.0,,100.0,baseline_t3,1.01,98.99,0.0,0.0,12.13,734.16
hotpotqa,baseline_t1,200,60.5,75.74,0.059137,0.000296,98.44,64.2,76.1,86.98,145.78,baseline_t2,71.6,0.0,28.4,0.0,70.24,80.17
hotpotqa,baseline_t2,200,79.5,87.08,0.772128,0.003861,79.66,4.92,100.0,100.0,191.57,baseline_t2,26.63,71.6,1.78,41.0,9.14,127.48
hotpotqa,baseline_t3,200,63.5,78.66,0.851264,0.004256,77.58,4.46,79.87,90.33,153.01,baseline_t2,1.78,98.22,0.0,0.0,52.53,97.92
hotpotqa,baseline_t4,200,41.5,62.87,3.796716,0.018984,0.0,1.0,52.2,72.2,100.0,baseline_t2,0.0,100.0,0.0,0.0,26.68,65.04
hotpotqa,adaptive,200,63.5,78.24,1.039404,0.005197,72.62,3.65,79.87,89.85,153.01,baseline_t2,66.86,11.24,21.89,3.0,21.45,96.05
hotpotqa,cascade,200,65.0,78.88,0.577575,0.002888,84.79,6.57,81.76,90.58,156.63,baseline_t2,69.82,2.96,27.22,8.0,19.76,95.41
hotpotqa,complexity,200,64.0,76.35,0.732763,0.003664,80.7,5.18,80.5,87.68,154.22,baseline_t2,47.34,39.64,13.02,0.0,15.22,100.37
hotpotqa,fixed_mixed,4,75.0,82.5,0.026937,0.006734,99.29,140.95,94.34,94.74,180.72,baseline_t2,100.0,0.0,0.0,0.0,29.32,124.05
hotpotqa,learned,102,61.76,75.65,0.301483,0.002956,92.06,12.59,77.69,86.87,148.82,baseline_t2,41.33,53.33,5.33,0.0,25.22,93.71
hotpotqa,query_level,200,61.5,76.42,1.137646,0.005688,70.04,3.34,77.36,87.76,148.19,baseline_t2,7.69,91.72,0.59,0.0,24.69,95.88
hotpotqa,query_level.prev,115,63.48,78.71,0.646039,0.005618,82.98,5.88,79.85,90.39,152.96,baseline_t2,5.81,93.02,1.16,0.0,24.18,99.8
hotpotqa,random,10,70.0,90.83,0.02202,0.002202,99.42,172.42,88.05,104.31,168.67,baseline_t2,0.0,100.0,0.0,0.0,29.64,99.2
musique,baseline_t1,200,31.0,42.64,0.073546,0.000368,98.39,62.08,60.78,66.14,100.0,baseline_t3,50.41,0.0,49.59,0.0,150.97,30.82
musique,baseline_t2,200,43.0,57.69,1.071724,0.005359,76.53,4.26,84.31,89.48,138.71,baseline_t3,30.08,50.41,19.51,0.0,20.54,48.92
musique,baseline_t3,200,51.0,64.47,1.132714,0.005664,75.19,4.03,100.0,100.0,164.52,baseline_t3,17.07,80.49,2.44,0.0,54.99,57.44
musique,baseline_t4,200,31.0,49.7,4.565746,0.022829,0.0,1.0,60.78,77.09,100.0,baseline_t3,2.44,97.56,0.0,0.0,27.99,35.64
